"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"PURCHASE-URL";"SPICEMODEL";"SPICEPREFIX";"SUPPLIER";"TP_SIGNAL_NAME";"VALUE";
"2";"N.C.";"CAP0805";"0805";"C19, C65";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"NRS4018T4R7MDGJ";"NRS4018T4R7MDGJ";"NRS4018T100MDGJ";"L1";"Inductor SMD wirewound 4.7uH";"NRS4018T4R7MDGJ";"https://www.arrow.com/en/products/nrs4018t4r7mdgj/taiyo-yuden";"Inductor SMD wirewound 4.7uH";"";"1mm";"TAIYO YUDEN";"NRS4018T4R7MDGJ";"";"963-NRS4018T4R7MDGJ";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/NRS4018T4R7MDGJ?qs=PzICbMaShUfBUWy4ytltsA%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PKMCS0909E4000-R1";"PKMCS0909E4000-R1";"PKMCS0909";"BZ1";"PKMCS0909E4000-R1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RB060M-60TR";"3SMAJ5923B-TP";"DIOM5226X244N";"D8";"Zener Diodes 3W 8.2V";"3SMAJ5923B-TP";"https://www.arrow.com/en/products/3smaj5923b-tp/micro-commercial-components";"Zener Diodes 3W 8.2V";"";"2.44mm";"MCC";"3SMAJ5923B-TP";"";"833-3SMAJ5923B-TP";"https://www.mouser.com/Search/Refine.aspx?Keyword=833-3SMAJ5923B-TP";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ROTARTY_ENCODER";"ROTARTY_ENCODER";"ROTARY_ENC_PLAIN";"S1";"Simple no LED rotary encoder";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RP2040TR7";"RP2040TR7";"RP2040TR7";"U1";"ARM MCU, RP2040 Series Microcontrollers, ARM Cortex-M0+, 32 bit, 133 MHz, 16 MB, 56 Pins";"";"";"ARM MCU, RP2040 Series Microcontrollers, ARM Cortex-M0+, 32 bit, 133 MHz, 16 MB, 56 Pins";"";"0.9mm";"RASPBERRY-PI";"RP2040TR7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SMT-0540-S-R";"SMT-0540-S-R";"SMT0540SR";"LS1";"Speakers & Transducers SMD TRANSDUCER 3VP-P 100MA";"";"";"Speakers & Transducers SMD TRANSDUCER 3VP-P 100MA";"";"2mm";"PUI Audio";"SMT-0540-S-R";"";"665-SMT0540SR";"https://www.mouser.co.uk/ProductDetail/PUI-Audio/SMT-0540-S-R?qs=e16JbV5WBEu5VaDVzQP23Q%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"SN74AC14PWR";"7414";"TSSOP14";"U3, U6";"Hex schmitt trigger INVERTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18";"TESTPAD_TPSQB1,27";"TESTPAD_TPSQB1,27";"TESTPAD_B1,27";"3V3MCU, EN_TPS54531, GND, IN+, ISENSE, N$41, N$51, OVC_ALARM, PEDAL+, PEDAL-, RUN, SCL, SDA, SWCLK, SWDIO, VBUS_SENSE, VOSEN, VOUT";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TPIC2810D";"TPIC2810D";"SO16";"U7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"W25Q64JVSSIQ";"W25Q64JVSSIQ";"SOIC127P790X216-8N";"U5";"64M-bit Serial Flash Memory with uniform 4KB sectors and Dual/Quad SPI";"W25Q64JVSSIQ";"https://www.arrow.com/en/products/w25q64jvssiq/winbond-electronics?region=nac";"64M-bit Serial Flash Memory with uniform 4KB sectors and Dual/Quad SPI";"";"2.16mm";"Winbond";"W25Q64JVSSIQ";"";"454-W25Q64JVSSIQ";"https://www.mouser.co.uk/ProductDetail/Winbond/W25Q64JVSSIQ?qs=qSfuJ%252Bfl%2Fd4DecxlHDmB8w%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
